Address;Price;Living Area;Side Area;Year of Building;Monthly Fee;Floor;Elevator;Balcony;Patio;Fireplace
Adventsvägen 1;7800000;85;;2017;7129;5;1;1;0;0
Bäckvägen 42;3200000;59;;1942;5043;1;1;0;0;0
Bäckvägen 50;3675000;55;;1943;3957;3;1;1;0;0
Cedergrensvägen 18;2700000;35;;1940;3206;1;0;1;0;0
Cedergrensvägen 36;2400000;34,5;;1939;3186;1;0;0;0;0
Cedergrensvägen 4;3550000;47;;2020;4167;4;1;1;0;0
Cedergrensvägen 40;3750000;51;;1940;4232;2;0;0;0;0
Cedergrensvägen 53;2795000;34,5;;1939;3293;2;0;0;0;0
Hökmossevägen 50;3000000;54;;1944;3770;3;0;1;0;0
Kransbindarvägen 13;2520000;35;;1940;3206;2;0;0;0;0
Kransbindarvägen 37;2620000;35;;1940;3206;1;0;0;0;0
Kyndelsmässogränd 12;4050000;54,5;;1944;4826;3;0;1;0;0
Lm Ericssons väg 18;5800000;71;;2022;3578;2;1;1;0;0
Lm Ericssons väg 18;6995000;93;;2022;4687;3;1;1;0;0
Lm Ericssons väg 24;5950000;70;;2022;3528;1;1;1;0;0
Lm Ericssons väg 24;2400000;27;;2022;1361;4;1;0;0;0
Lm Ericssons väg 4;7150000;102;;2009;7482;3;1;1;0;0
Midsommargränd 2;4520000;56;;2009;3106;2;1;1;0;0
Midsommargränd 2;4640000;56;;2009;3106;4;1;1;0;0
Midsommargränd 2;4660000;56;;2009;3106;4;1;1;0;0
Midsommarvägen 25;3130000;43;;1943;3541;3;0;1;0;0
Mobilgatan 11;6800000;96;;2013;6609;4;1;1;0;0
Nioörtsvägen 28B;5330000;77;;1973;6097;2;1;1;0;0
Pingstvägen 19;2550000;35;;1940;3206;1;0;0;0;0
Radiusbacken 39;3830000;44;;2020;3373;10;1;1;0;0
Radiusbacken 6;3850000;55;;2011;4284;3;1;1;0;0
Responsgatan 12;2800000;46;;2019;3135;4;1;1;0;0
Responsgatan 12;2850000;46;;2019;3235;4;1;1;0;0
Responsgatan 12;3300000;54;;2019;3680;7;1;1;0;0
Responsgatan 18;4295000;46;46;2019;5486;1;1;1;1;0
Responsgatan 36;1998750;22;;2023;1795;4;1;0;0;0
Responsgatan 5;4100000;53;;2007;2990;2;1;1;0;0
Snickerigatan 11;3900000;65;;2015;4573;2;1;1;0;0
Snickerigatan 9;6770000;96;;2015;6158;5;1;1;0;0
Snickerigatan 9;5200000;72;;2015;4981;5;1;1;0;0
Tegelbruksvägen 14;2900000;38;;1936;3848;2;0;0;0;0
Telefonvägen 31;6100000;84;;1993;5551;2;1;1;0;0
Telefonvägen 33;5600000;68;;1993;4548;3;1;1;0;0
Telefonvägen 5;6600000;79;;1993;4971;5;1;1;0;0
Tellusborgsvägen 31;4925000;69;;1949;4012;1;0;1;0;0
Tellusborgsvägen 90;2900000;36;;2012;2586;5;1;1;0;0
Tellusborgsvägen 90;2710000;36;;2012;2658;4;1;1;0;0
Tellusborgsvägen 96;4500000;58;;1917;3762;1;1;0;1;0
Tellusborgsvägen 96;6650000;90;;1917;5452;1;1;0;1;0
Valborgsmässovägen 20A;3400000;51;;2018;3742;1;1;0;0;0
Vattenledningsvägen 51;2610000;35;;1913;3549;2;0;0;0;0
Vattenledningsvägen 85;2960000;41;;1943;3010;1;0;0;0;0
