Address,District,Price,Living Area,Side Area,Rooms,Monthly Fee,Floor,Year of Building,Elevator,Balcony,Patio,Fireplace,Date of Sale,Days for Sale,Latitude,Longitude
Tellusgången 34,Telefonplan,4770000,73.0,0.0,3.0,5026,5.0,2015.0,1,1,0,0,2024-05-22,13,59.29869910000001,17.9890623
Tångvägen 31,Hökmossen,2600000,57.0,0.0,2.0,4297,,1944.0,0,0,0,0,2024-02-24,15,59.2921102,17.9946884
Cedergrensvägen 43,LM-Staden,3745000,51.0,0.0,3.0,4285,1.0,1940.0,0,0,0,0,2024-04-30,9,59.3007965,17.9985426
Responsgatan 12,Telefonplan,2760000,46.0,0.0,2.0,3135,3.0,2019.0,1,1,0,0,2024-03-18,16,59.29645899999999,18.0027115
Mikrofonvägen 21,Telefonplan,4400000,61.0,0.0,2.0,3676,4.0,2010.0,1,1,0,0,2024-08-18,10,59.2969106,17.9997931
Radiusbacken 39,Midsommarkransen,2725000,38.0,0.0,2.0,2913,4.0,2018.0,1,1,0,0,2024-09-07,254,59.2981749,18.0049208
Responsgatan 18,Telefonplan,2450000,32.0,0.0,1.0,2181,3.0,2019.0,1,1,0,0,2024-05-28,15,59.29709949999999,18.0038945
Tegelbruksvägen 20,Gamla Midsommarkransen,4625000,54.0,0.0,2.0,4444,3.0,1912.0,0,0,0,1,2024-06-01,15,59.3032536,18.0114555
Hökmossevägen 34,Hökmossen,2595000,40.0,0.0,2.0,3390,2.0,1940.0,0,0,0,0,2024-07-22,50,59.2912734,17.9928296
Tellusborgsvägen 100,Telefonplan,6000000,80.0,0.0,2.0,5426,5.0,1917.0,1,1,0,0,2024-03-01,103,59.2971881,18.0009157
Kransbindarvägen 51,LM-Staden,2765000,35.0,0.0,2.0,3206,1.0,1938.0,0,0,0,0,2024-04-30,10,59.30160890000001,17.9961161
Cedergrensvägen 30,LM-Staden,3025000,35.0,0.0,2.0,3206,2.0,1940.0,0,0,0,0,2024-07-16,4,59.3017827,17.999719
Mellanbergsvägen 15,Hökmossen,2430000,44.0,0.0,2.0,3466,3.0,1943.0,0,0,0,0,2024-06-06,13,59.2909017,17.9885919
Cedergrensvägen 4,Midsommarkransen,2760000,33.0,0.0,2.0,2575,3.0,2020.0,1,0,0,0,2024-04-25,16,59.3033533,18.0027914
Tellusborgsvägen 90,Midsommarkransen,2700000,35.0,0.0,1.5,2586,4.0,2012.0,1,1,0,0,2024-03-13,11,59.29883299999999,18.0020192
Midsommargränd 10,Midsommarkransen,6000000,71.0,0.0,3.0,4077,3.0,2009.0,1,1,0,0,2024-03-01,1,59.29912589999999,18.0037549
