Address,Price,Area,Rooms,Expenses_per_sqm,Age of Building,Floor,Floor_Category,District,District_Floor,Elevator,Balcony,Patio,Fireplace,Subway Station,Grocery Store,Gym,Bakery,Latitude,Longitude
Tellusgången 34,4770000,73.0,3.0,69.90500785986976,9.0,5.0,Mid,Telefonplan,Telefonplan-Mid,1,1,0,0,455,402,208,159,59.29869910000001,17.9890623
Tångvägen 31,2600000,57.0,2.0,75.3859649122807,80.0,3.0,Lo,Hökmossen,Hökmossen-Lo,0,0,0,0,693,581,553,763,59.2921102,17.9946884
Cedergrensvägen 43,3745000,51.0,3.0,84.01960784313725,84.0,1.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,301,236,345,129,59.3007965,17.9985426
Responsgatan 12,2760000,46.0,2.0,68.34034290044521,5.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,380,69,96,237,59.29645899999999,18.0027115
Mikrofonvägen 21,4400000,61.0,2.0,60.26229508196721,14.0,4.0,Mid,Telefonplan,Telefonplan-Mid,1,1,0,0,216,105,233,256,59.2969106,17.9997931
Radiusbacken 39,2725000,38.0,2.0,76.66160012099215,6.0,4.0,Mid,Midsommarkransen,Midsommarkransen-Mid,1,1,0,0,452,261,121,125,59.2981749,18.0049208
Responsgatan 18,2450000,32.0,1.0,70.94350007121747,5.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,412,146,2,175,59.29709949999999,18.0038945
Tegelbruksvägen 20,4625000,54.0,2.0,82.29629629629629,112.0,3.0,Lo,Gamla Midsommarkransen,Gamla Midsommarkransen-Lo,0,0,0,1,160,185,668,234,59.3032536,18.0114555
Hökmossevägen 34,2595000,40.0,2.0,84.75,84.0,2.0,Lo,Hökmossen,Hökmossen-Lo,0,0,0,0,809,712,525,841,59.2912734,17.9928296
Tellusborgsvägen 100,6000000,80.0,2.0,67.825,107.0,5.0,Mid,Telefonplan,Telefonplan-Mid,1,1,0,0,251,75,169,191,59.2971881,18.0009157
Kransbindarvägen 51,2765000,35.0,2.0,91.6,86.0,1.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,381,308,309,151,59.30160890000001,17.9961161
Cedergrensvägen 30,3025000,35.0,2.0,91.6,84.0,2.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,426,210,381,248,59.3017827,17.999719
Mellanbergsvägen 15,2430000,44.0,2.0,78.77272727272727,81.0,3.0,Lo,Hökmossen,Hökmossen-Lo,0,0,0,0,760,753,430,900,59.2909017,17.9885919
Cedergrensvägen 4,2760000,33.0,2.0,79.3569811414639,4.0,3.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,0,0,0,356,249,495,330,59.3033533,18.0027914
Tellusborgsvägen 90,2700000,35.0,1.5,73.57328186007432,12.0,4.0,Mid,Midsommarkransen,Midsommarkransen-Mid,1,1,0,0,294,251,77,56,59.29883299999999,18.0020192
Midsommargränd 10,6000000,71.0,3.0,57.33067059070843,15.0,3.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,398,226,32,55,59.29912589999999,18.0037549
Tellusborgsvägen 96,5800000,63.8,2.0,70.54414838035527,107.0,4.0,Mid,Telefonplan,Telefonplan-Mid,1,1,0,0,254,101,157,154,59.2974889,18.0012266
Adventsvägen 1,6800000,114.0,4.0,50.58771929824562,7.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,0,0,0,286,234,322,240,59.301007,18.0072758
Vattenledningsvägen 87,3110000,43.0,2.0,73.0,78.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,1,0,0,371,215,222,146,59.3001495,18.0064272
Flygelgatan 4,3100000,39.0,2.0,73.07405064842642,12.0,2.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,258,191,125,83,59.29830860000001,18.0015267
Valborgsmässovägen 19,3750000,51.0,2.0,67.2156862745098,86.0,1.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,205,163,246,172,59.2996375,17.9992801
Tellusborgsvägen 92,2670000,37.0,1.5,72.59847883965531,12.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,258,231,113,83,59.2986728,18.0014302
Svandammsvägen 41,6400000,71.5,3.0,80.47552447552448,90.0,2.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,306,212,312,228,59.3010562,18.0068899
Valborgsmässovägen 32,2550000,34.5,1.0,95.44927536231884,86.0,3.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,210,160,269,149,59.2998023,17.998977
Pingstvägen 34,1950000,22.0,1.0,100.25691699604742,84.0,2.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,391,319,363,166,59.3017246,17.9971426
Nyårsvägen 18,5995000,78.0,3.0,63.32338056680162,77.0,3.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,1,0,0,436,269,366,333,59.3029738,17.9940321
Vattenledningsvägen 48B,5525000,62.0,2.0,60.87096774193548,114.0,3.0,Lo,Gamla Midsommarkransen,Gamla Midsommarkransen-Lo,0,0,0,1,285,231,383,297,59.30179940000001,18.0070187
Pingstvägen 39,3275000,51.0,2.0,82.98039215686275,84.0,1.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,342,270,248,120,59.30117959999999,17.9954143
Johannesbergsgatan 3,2820000,38.0,2.0,92.5,86.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,0,0,169,159,501,141,59.3003457,18.0117048
Oktavgatan 4,5250000,75.5,3.0,57.80132450331126,,3.0,Lo,Telefonplan,Telefonplan-Lo,0,0,0,0,198,118,235,240,59.297138,17.9997451
Adventsvägen 3,3195000,52.0,2.0,83.08353494623655,7.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,1,0,0,295,230,310,228,59.3008901,18.0071909
Lm Ericssons väg 10J,7555000,91.0,4.0,50.395604395604394,2.0,2.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,132,76,215,129,59.2991991,17.9956853
Oktavgatan 6,4350000,61.0,2.0,60.26229508196721,14.0,2.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,201,115,232,237,59.29713820000001,17.9998133
Tellusborgsvägen 90,2900000,35.0,1.5,73.57328186007432,12.0,3.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,294,251,77,56,59.29883299999999,18.0020192
Kransbindarvägen 21,3680000,51.0,2.0,87.29019607843136,84.0,3.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,440,216,431,336,59.3025017,18.0004954
Vattenledningsvägen 71,3200000,37.5,2.0,50.348860759493675,86.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,0,0,0,350,174,271,186,59.30087169999999,18.006189
Bäckvägen 82,2925000,47.0,2.0,72.57446808510639,82.0,3.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,1,0,0,456,342,291,292,59.3022906,17.9932585
Bäckvägen 65,3200000,46.0,2.0,81.43478260869566,79.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,0,0,475,364,384,245,59.30246169999999,17.9962387
Responsgatan 14,2902000,53.0,2.0,73.19036141999368,5.0,1.0,Lo,Telefonplan,Telefonplan-Lo,1,0,0,0,384,84,69,214,59.29665749999999,18.0030007
Nioörtsvägen 40,2595000,48.5,2.0,64.59397594922333,40.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,0,0,172,140,617,92,59.30056810000001,18.0136925
Midsommarvägen 14,2470000,40.0,1.5,74.1375,85.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,1,0,109,89,564,65,59.3009022,18.0124703
Hökmossevägen 68,2600000,62.0,2.5,78.7741935483871,,3.0,Lo,Hökmossen,Hökmossen-Lo,0,0,0,0,790,806,488,965,59.29032709999999,17.9883463
Tellusborgsvägen 96,5000000,66.0,2.0,70.54414838035527,107.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,0,0,0,254,101,157,154,59.2974889,18.0012266
Tellusgången 34,5200000,73.0,3.0,69.90500785986976,9.0,4.0,Mid,Telefonplan,Telefonplan-Mid,1,1,0,0,455,402,208,159,59.29869910000001,17.9890623
Övre Bergsvägen 12,3130000,41.0,2.0,66.49305816135085,112.0,1.0,Lo,Gamla Midsommarkransen,Gamla Midsommarkransen-Lo,0,0,0,0,59,92,538,133,59.30176329999999,18.0109975
Tellusborgsvägen 94,3050000,39.0,2.0,68.32275724772926,9.0,4.0,Mid,Telefonplan,Telefonplan-Mid,0,0,0,0,299,209,84,40,59.29843750000001,18.0022255
Tvingvägen 30,2465000,36.0,2.0,66.36111111111111,82.0,1.0,Lo,Hökmossen,Hökmossen-Lo,0,0,0,0,524,353,331,618,59.29355709999999,17.9982691
Flygelgatan 4,3500000,44.0,2.5,73.07405064842642,12.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,258,191,125,83,59.29830860000001,18.0015267
Vattenledningsvägen 73,3650000,42.0,2.0,54.390350877192986,81.0,2.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,0,0,0,369,164,249,164,59.3007185,18.0059464
Responsgatan 36,2137500,27.0,2.0,81.79840067340068,1.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,361,133,58,126,59.2974559,18.0031599
Tellusborgsvägen 90,3050000,48.0,1.5,73.57328186007432,12.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,0,0,0,294,251,77,56,59.29883299999999,18.0020192
Midsommarvägen 31,7425000,103.0,5.0,58.0,78.0,2.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,1,0,0,385,279,218,163,59.2995542,18.0069791
Nioörtsvägen 40,3910000,64.5,3.0,64.59397594922333,41.0,3.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,172,140,617,92,59.30056810000001,18.0136925
Midsommarparken 5B,2900000,35.0,2.0,72.87881773399015,85.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,0,0,103,77,586,44,59.3010153,18.0127852
Responsgatan 18,2425000,32.0,1.0,70.94350007121747,5.0,4.0,Mid,Telefonplan,Telefonplan-Mid,1,1,0,0,412,146,2,175,59.29709949999999,18.0038945
Tellusborgsvägen 92,3450000,52.0,2.0,72.59847883965531,12.0,2.0,Lo,Telefonplan,Telefonplan-Lo,1,0,0,0,258,231,113,83,59.2986728,18.0014302
Tångvägen 30,2580000,45.0,2.0,69.71111111111111,80.0,1.0,Lo,Hökmossen,Hökmossen-Lo,0,1,0,0,608,527,509,696,59.29282139999999,17.9953434
Midsommargränd 4,3625000,45.0,2.0,58.24444444444445,15.0,2.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,455,227,86,50,59.2992547,18.0047179
Responsgatan 36,2673000,32.0,2.0,81.79840067340068,1.0,10.0,Hi,Telefonplan,Telefonplan-Hi,1,1,0,0,361,133,58,126,59.2974559,18.0031599
Valborgsmässovägen 32,2550000,34.5,1.0,95.44927536231884,84.0,2.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,210,160,269,149,59.2998023,17.998977
Oktobergatan 12,3125000,41.0,2.0,65.4390243902439,85.0,2.0,Lo,LM-Staden,LM-Staden-Lo,0,1,0,0,414,163,389,309,59.30233029999999,18.004811
Lötmogatan 7,2615000,31.0,1.5,115.34946236559139,84.0,3.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,216,229,756,270,59.30375769999999,18.0126671
Mellanbergsvägen 15,2620000,44.0,2.0,78.77272727272727,81.0,2.0,Lo,Hökmossen,Hökmossen-Lo,0,0,0,0,760,753,430,900,59.2909017,17.9885919
Lm Ericssons väg 4,6020000,73.5,3.0,79.91836734693878,15.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,315,246,196,115,59.30081149999999,17.994812
Midsommarvägen 52,3500000,48.0,2.0,88.35416666666667,80.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,0,0,305,255,287,212,59.3004352,18.0074391
Valborgsmässovägen 10,2775000,34.5,2.0,95.44927536231884,84.0,1.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,364,127,240,215,59.30072909999999,18.0010871
Snickerigatan 14,5295000,83.0,3.0,61.096385542168676,11.0,4.0,Mid,Telefonplan,Telefonplan-Mid,1,1,0,0,502,403,217,201,59.299234,17.9884047
Bäckvägen 80,2750000,47.0,2.0,72.57446808510639,82.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,0,0,464,339,297,286,59.3023176,17.993517
Lm Ericssons väg 2,5600000,80.0,3.0,77.675,15.0,2.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,337,271,175,149,59.30088299999999,17.9941986
